sample;Habitat;trap_ID;collection_date;trap_collection_longitude;trap_collection_latitude;Ethanol conc. [%];Biomass
STHFJP;Grassland;TDGFXV;13/04/2019;15.19485;56.93642;94.4;5.18
S5MEZA;Grassland;TDGFXV;20/04/2019;15.19485;56.93642;94.4;5.00
SY34ZS;Grassland;TDGFXV;27/04/2019;15.19485;56.93642;94.3;4.72
SCNXZK;Grassland;TDGFXV;04/05/2019;15.19485;56.93642;94.8;1.27
SKYQAL;Grassland;TDGFXV;11/05/2019;15.19485;56.93642;94.9;1.79
SC1YIM;Wetland;T7WIMF;13/04/2019;14.75969;57.3824;95.1;1.42
S8APX1;Wetland;T7WIMF;20/04/2019;14.75969;57.3824;94.2;5.33
SLWUQ2;Wetland;T7WIMF;27/04/2019;14.75969;57.3824;94.4;4.47
SIRUBH;Wetland;T7WIMF;04/05/2019;14.75969;57.3824;94.7;1.94
SACBBR;Wetland;T7WIMF;11/05/2019;14.75969;57.3824;94.8;0.20
SQVR9H;Forest;TGXFSR;13/04/2019;15.585445;58.28649;95.2;1.08
SBWPUY;Forest;TGXFSR;20/04/2019;15.585445;58.28649;95.1;0.88
SUXEKB;Forest;TGXFSR;27/04/2019;15.585445;58.28649;95.0;1.27
SG3CB2;Forest;TGXFSR;04/05/2019;15.585445;58.28649;95.1;1.45
SIUQ3G;Forest;TGXFSR;11/05/2019;15.585445;58.28649;95.1;1.28
