Var1	Sample_no	Var2	Species	Freq
2	1	S8APX1	Acanthosomatidae_cluster1	0
17	1	S8APX1	Acaridae_cluster3	0
32	1	S8APX1	Acaridae_cluster6	0
47	1	S8APX1	Agromyzidae_cluster46	0
62	1	S8APX1	Agromyzidae_cluster57	0
77	1	S8APX1	Amaurobiidae_cluster1	0
92	1	S8APX1	Anisopodidae_cluster1	0
107	1	S8APX1	Anisopodidae_cluster2	3
122	1	S8APX1	Anisopodidae_cluster3	0
137	1	S8APX1	Anisopodidae_cluster4	0
152	1	S8APX1	Anisopodidae_cluster5	0
167	1	S8APX1	Anobiidae_cluster1	0
182	1	S8APX1	Anthomyiidae_cluster103	0
197	1	S8APX1	Anthomyiidae_cluster2	0
212	1	S8APX1	Anthomyiidae_cluster21	0
227	1	S8APX1	Anthomyiidae_cluster26	0
242	1	S8APX1	Anthomyiidae_cluster32	0
257	1	S8APX1	Anthomyiidae_cluster39	1
272	1	S8APX1	Anthomyiidae_cluster61	0
287	1	S8APX1	Anthomyiidae_cluster74	0
302	1	S8APX1	Anthribidae_cluster1	0
317	1	S8APX1	Anystidae_cluster3	0
332	1	S8APX1	Aphididae_cluster15	0
347	1	S8APX1	Aphididae_cluster16	0
362	1	S8APX1	Aphididae_cluster2	0
377	1	S8APX1	Aphididae_cluster36	0
392	1	S8APX1	Aphididae_cluster5	0
407	1	S8APX1	Apidae_cluster2	0
422	1	S8APX1	Apidae_cluster43	0
437	1	S8APX1	Araneidae_cluster4	1
452	1	S8APX1	Ascidae_cluster2	0
467	1	S8APX1	Aulacigastridae_cluster1	2
482	1	S8APX1	Aulacigastridae_cluster2	0
497	1	S8APX1	Blattidae_cluster1	1
512	1	S8APX1	Bolitophilidae_cluster1	0
527	1	S8APX1	Bolitophilidae_cluster4	0
542	1	S8APX1	Braconidae_cluster148	0
557	1	S8APX1	Braconidae_cluster315	0
572	1	S8APX1	Braconidae_cluster44	0
587	1	S8APX1	Braconidae_cluster52	0
602	1	S8APX1	Braconidae_cluster529	0
617	1	S8APX1	Braconidae_cluster638	0
632	1	S8APX1	Braconidae_cluster68	0
647	1	S8APX1	Brentidae_cluster1	0
662	1	S8APX1	Caeciliusidae_cluster1	0
677	1	S8APX1	Calliphoridae_cluster3	0
692	1	S8APX1	Calliphoridae_cluster7	0
707	1	S8APX1	Cecidomyiidae_cluster130	0
722	1	S8APX1	Cecidomyiidae_cluster132	0
737	1	S8APX1	Cecidomyiidae_cluster1372	0
752	1	S8APX1	Cecidomyiidae_cluster1412	0
767	1	S8APX1	Cecidomyiidae_cluster142	10
782	1	S8APX1	Cecidomyiidae_cluster148	0
797	1	S8APX1	Cecidomyiidae_cluster153	0
812	1	S8APX1	Cecidomyiidae_cluster156	0
827	1	S8APX1	Cecidomyiidae_cluster1587	0
842	1	S8APX1	Cecidomyiidae_cluster172	0
857	1	S8APX1	Cecidomyiidae_cluster174	1
872	1	S8APX1	Cecidomyiidae_cluster177	0
887	1	S8APX1	Cecidomyiidae_cluster194	1
902	1	S8APX1	Cecidomyiidae_cluster198	0
917	1	S8APX1	Cecidomyiidae_cluster2	0
932	1	S8APX1	Cecidomyiidae_cluster2096	0
947	1	S8APX1	Cecidomyiidae_cluster23	0
962	1	S8APX1	Cecidomyiidae_cluster25	0
977	1	S8APX1	Cecidomyiidae_cluster313	0
992	1	S8APX1	Cecidomyiidae_cluster316	0
