cluster;ELA001_H1;ELA001_H2_pf;ELA001_H3;ELA001_H4_pf;ELA001_H5;ELA001_H6;ELA001_H7;ELA001_H8_pf;ELA001_H9;ELA001_H10;ELA001_H11;ELA001_H12;ELA001_H13;ELA001_H14;ELA001_H15
Artificial_SPIKE_Calif;161082;25887;28887;40719;38276;42258;52244;27892;28697;42402;37402;31014;19036;36719;38839
Artificial_SPIKE_tp53;82397;14001;15067;23117;21227;24160;29978;15648;17116;26511;24004;19398;10989;23000;24499
Acanthosomatidae_cluster1;0;0;0;0;0;0;0;0;15608;0;0;0;8619;0;0
Acaridae_cluster3;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
Acaridae_cluster6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agromyzidae_cluster46;0;0;0;0;0;0;0;262;0;0;0;0;0;0;0
Agromyzidae_cluster57;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0
Amaurobiidae_cluster1;0;0;0;0;0;0;0;0;111;0;0;0;5412;0;0
Anisopodidae_cluster1;0;0;0;0;0;3277;0;0;8022;0;68553;11713;2681;0;8755
Anisopodidae_cluster2;36634;2724;19121;22023;6138;1652;5264;7093;6497;0;0;0;8121;0;17520
Anisopodidae_cluster3;0;0;0;0;0;0;0;0;0;0;22450;8388;2476;0;0
Anisopodidae_cluster4;0;0;0;0;0;0;0;0;3464;0;0;4740;0;0;29321
Anisopodidae_cluster5;0;0;0;0;0;4717;0;0;0;0;0;0;0;0;0
Anobiidae_cluster1;0;0;0;0;0;0;0;0;0;0;0;0;1346;0;0
Anthomyiidae_cluster103;0;762;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthomyiidae_cluster2;0;0;0;0;0;0;0;0;0;0;0;10817;0;0;0
Anthomyiidae_cluster21;0;10329;0;0;0;0;0;0;9500;0;0;13359;8480;0;24004
Anthomyiidae_cluster26;0;0;3576;0;0;0;0;0;0;0;0;0;0;0;0
Anthomyiidae_cluster32;0;0;1682;3536;1830;4237;0;0;0;0;0;0;0;0;0
Anthomyiidae_cluster39;1425;1737;0;0;0;0;0;0;0;0;43627;0;0;0;0
Anthomyiidae_cluster61;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0
Anthomyiidae_cluster74;0;0;375;666;0;0;0;0;0;0;0;0;0;0;0
Anthribidae_cluster1;0;1305;121;11985;0;0;0;0;0;0;0;0;0;0;0
Anystidae_cluster3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aphididae_cluster15;0;108;0;0;0;0;206;0;51;0;38;132;0;0;174
Aphididae_cluster16;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0
Aphididae_cluster2;0;0;0;0;11;796;0;525;0;0;0;0;0;0;0
Aphididae_cluster36;0;0;0;0;0;0;0;0;0;0;284;150;0;0;0
Aphididae_cluster5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Apidae_cluster2;0;0;0;0;0;0;0;42421;0;0;0;0;0;0;0
Apidae_cluster43;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
Araneidae_cluster4;431;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ascidae_cluster2;42;30;3;0;3;12;0;0;0;46;0;0;8;0;0
Aulacigastridae_cluster1;1005;0;0;0;183;0;0;0;0;0;0;0;168;0;0
Aulacigastridae_cluster2;0;0;0;0;0;0;0;0;535;2914;0;0;279;0;0
Blattidae_cluster1;9481;2277;1634;5930;5280;10250;4333;11996;2508;6099;3777;2707;3397;20426;7423
Bolitophilidae_cluster1;0;0;0;0;0;931;0;0;0;0;0;0;0;0;5279
Bolitophilidae_cluster4;0;0;0;0;0;2610;0;0;0;0;0;0;0;0;0
Braconidae_cluster148;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0
Braconidae_cluster315;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0
Braconidae_cluster44;0;0;0;0;0;0;0;0;0;0;0;7493;0;0;0
Braconidae_cluster52;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0
Braconidae_cluster529;0;0;0;0;0;0;0;0;208;0;0;0;0;0;0
Braconidae_cluster638;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0
Braconidae_cluster68;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
Brentidae_cluster1;0;588;0;1510;0;3775;0;1514;0;0;0;0;0;0;819
Caeciliusidae_cluster1;0;0;0;0;0;0;0;0;0;0;505;567;0;0;0
Calliphoridae_cluster3;0;11396;0;0;0;0;0;0;0;0;0;0;0;0;0
Calliphoridae_cluster7;0;0;0;0;2132;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5801
Cecidomyiidae_cluster132;0;0;0;933;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster1372;0;182;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster1412;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
Cecidomyiidae_cluster142;661;23;0;0;0;0;0;0;0;0;0;0;0;40;0
Cecidomyiidae_cluster148;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster153;0;216;0;0;0;0;0;0;0;0;0;0;0;0;0
