cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Trichoceridae_cluster3	11271	1964	8478	0	15190	0	0	0	0	8935	0	0	2194	6099	0	0	31906	3032	2434	0	5537	0	0	0	0	15540	0	0	3923	12808	0	46	0	0
Polleniidae_cluster2	31141	5422	1148	79254	987	0	32482	0	220	0	0	0	0	15340	15812	0	189101	65612	12580	35171	33205	0	29659	0	14450	0	0	0	0	61670	36851	0	0	0
Sciaridae_cluster1	2110	9163	137	6709	0	6152	82884	28556	7135	0	929	68912	0	0	570	0	1977	4091	60	435	0	1173	28818	3893	1422	0	1056	14062	0	0	3293	0	0	0
Scathophagidae_cluster1	125727	84566	17006	108436	0	0	114072	240	312450	94	18	107397	157793	0	17040	0	132394	51758	9429	38484	0	0	80540	0	42757	0	0	37804	15224	0	44421	0	0	0
Entomobryidae_cluster1	165575	66143	116774	56044	37213	148626	282249	162312	6027	150153	54064	233073	7986	208753	81718	0	91997	15446	3622	1734	697	8662	23946	3950	398	11192	4738	8679	1187	10389	10337	82647	0	0
Muscidae_cluster28	2875	16034	2087	22311	6835	3550	62343	0	22360	0	0	0	5169	21760	0	0	109857	49439	14257	29959	17121	82969	72458	0	26341	0	0	0	36943	24592	0	0	0	0
Entomobryidae_cluster11	49430	21240	225	0	0	17562	48212	12569	0	5711	8140	818	185	37037	13180	0	29161	5425	0	0	0	616	2923	281	5	281	804	32	120	2318	2562	169	0	0
Chironomidae_cluster44	85768	4275	0	0	0	0	0	0	0	0	0	0	0	12829	0	0	67657	2242	0	0	0	0	0	0	0	0	0	0	0	7221	0	256	0	0
Sciaridae_cluster2	13615	4677	36711	26951	23595	3710	914	2099	0	1390	0	0	1289	1595	127	0	30581	4858	11189	8391	5636	5211	1679	1982	0	2006	0	0	1056	2897	1173	0	0	0
Cecidomyiidae_cluster142	1637	182	0	0	0	0	0	0	0	0	0	0	0	730	0	0	661	23	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
Muscidae_cluster39	110	110	606	10857	101	0	0	0	0	0	0	0	544	0	0	0	23814	15135	2064	10696	1392	0	0	0	0	0	0	0	6740	0	0	0	0	0
Anisopodidae_cluster2	43567	2107	24708	55585	10439	5476	2547	14543	17523	0	0	0	13856	0	2855	0	36634	2724	19121	22023	6138	1652	5264	7093	6497	0	0	0	8121	0	17520	0	0	0
Muscidae_cluster14	2457	684	222	1665	343	0	0	0	15722	0	0	0	0	0	0	0	42155	846	8351	17675	599	0	0	0	9424	0	0	0	0	0	0	0	0	0
Polleniidae_cluster1	5017	7407	8294	56367	10025	2133	42529	4116	76103	72129	0	0	16810	66672	0	0	74306	32450	52688	46312	70185	31785	25163	20835	72084	77633	0	0	42449	51763	0	0	0	0
Polleniidae_cluster3	3607	0	885	612	1752	0	0	0	0	0	0	0	0	0	0	0	11155	0	20641	3641	30369	0	0	0	0	0	0	0	0	0	0	0	0	0
Orchesellidae_cluster1	17898	729	0	0	0	0	0	0	0	0	0	0	0	0	9744	0	18212	937	0	0	0	0	0	0	0	0	0	0	0	0	8494	10767	0	0
